rank,url,try,date,creation,buildername
7,https://chat.openai.com/,https://www.youtube.com/embed/jx9LVsryC50?si=P0ye-01HlgLJcJvy,10/03/2024,ChatGPT Canvas,breck
8,https://rejectedbyyc.com/,https://www.youtube.com/embed/DMxpr1SKNeA?si=tZcDdEotu5WVQaN6,10/03/2024,RejectedByYC,breck
9,https://www.trykeet.com,https://www.loom.com/embed/d92ed08b415b4cc3a36f83eed045fd25?sid=4f81a4ec-60c7-4e1f-86ca-c453c38aabe3,10/02/2024,Keet,breck
10,https://www.hestus.co/,https://www.loom.com/embed/68ad87a7f6894aa7ad53b5ae5fc6a0be?sid=99eb0ee5-6485-49e7-9c45-ee695d897cdc,10/01/2024,Hestus,breck
11,https://coworkcoffee.com,https://www.youtube.com/embed/ItNfgj0ADI4?si=Q2WihMUNTM_2A2fw,10/01/2024,Cowork Coffee,breck
12,https://rysana.com/,https://www.youtube.com/embed/MMiTBiTi64A?si=fE4BhncABURQIjKI,10/01/2024,Rysana,breck
13,https://www.leahculver.com/,https://www.youtube.com/embed/6Wgsu4TxTdM?si=T46UPR0Mth-TKBIE,10/01/2024,LeahCulver.com,breck
14,https://www.luxcapital.com/,https://www.loom.com/embed/97609c0784fd4b30a430b3c6eccdee60?sid=f69e8d15-69ca-4801-b22c-8ca5e1cd3c1e,10/01/2024,Lux Capital,breck
15,https://humankind.place/,https://www.youtube.com/embed/9YwbVUukq3k?si=7vEULRm1rTbZUO4z,10/01/2024,Humankind Candles,breck
16,https://www.rogodata.com,https://www.loom.com/embed/7f4750b4a3974eb7b50ec14a8754b1ba?sid=2e16d6e7-66c7-4a21-a697-7300e41dd24d,10/01/2024,Rogo,breck
17,https://haystackeditor.com/,https://www.loom.com/embed/0f3a1d6c89ea4f289cf1a2ec3e6ebb77?sid=1c1f9fc9-d6ae-4fef-a2e5-578db7195917,9/30/2024,Haystack,breck
18,https://mitohealth.com/,https://www.youtube.com/embed/SIVlWNR_E5E?si=NvlzOkLI4t5t9RKI,9/30/2024,Mito Health,breck
19,https://actionbase.co,https://www.loom.com/embed/7560c4f4550143818731d4838d06138f?sid=e4f4f2bf-93dc-476c-b355-e0411e36aace,9/30/2024,ActionBase,breck
20,https://github.com/twny/genesis,https://www.loom.com/embed/5c2a8131254d4e54b85b303b6bd0fe40?sid=341ba4ce-5d83-4149-a5d4-2526afbbae71,9/30/2024,Genesis Game Engine,breck
21,https://infinilearn.com/,https://www.loom.com/embed/0b238e3db7f541b68d94fd4014c6ce14?sid=2df914b6-0f12-407c-9ad3-ae0150c6266b,9/29/2024,Infinilearn,breck
22,https://paulgraham.com/when.html,https://www.loom.com/embed/9ac3f3b85fd94ea9ad5a880503a17eab?sid=b15d3378-1893-486d-ba15-9bee2a319223,9/29/2024,When To Do What You Love,breck
23,https://storia.ai/,https://www.loom.com/embed/91eeeef1b3db437ea60418daa1aadf1a?sid=c446f795-2ace-4652-abd1-a4d84d361158,9/28/2024,Storia AI,breck
24,https://www.codeviz.ai/,https://www.loom.com/embed/aab68abb578e4516bff9472c6c472fcd?sid=0d3508af-571b-4448-9fec-48f62dd0a1fe,9/27/2024,CodeViz,breck
25,https://chianglab.bio/2024/09/26/spatial-technologies-of-the-future/,https://www.loom.com/embed/d9ad5161724d494090576a927dc5fcb8?sid=c54f8003-5dbc-40ab-b353-455653132ffb,9/27/2024,Spatial technologies of the future,breck
26,https://www.afterfeedback.com/,https://www.youtube.com/embed/AJSujlcDJXw?si=5eHP4KihMMQl6pY5,9/27/2024,The Feedback Loop,breck
27,https://www.arcade.ai/,https://www.youtube.com/embed/LEpmUSCdAEc?si=cOBug8LUp_yolQpN,9/27/2024,Arcade.ai: Turn your thoughts into things,breck
28,https://www.youtube.com/@keeptalkingpod,https://www.loom.com/embed/8b783e9fe5b34a34b7b37d089eb71e9c?sid=62fd93a6-1025-44d7-973d-3936289db13d,9/27/2024,Keep Talking Newsletter,breck
29,https://www.snowpilot.com/,https://www.loom.com/embed/d789de706c334cbfa4904ce862dfc46b?sid=ec558a6c-451a-4a92-89fa-ae2578129602,9/26/2024,Snowpilot,breck
30,https://www.synnaxlabs.com/,https://www.loom.com/embed/b4e86574742a4882b18113143c942bae?sid=c9f91ea1-e125-4c37-aeae-2e56adfff1a0,9/26/2024,Synnax Labs,breck
31,https://launchgrid.blitlabs.com/,https://www.loom.com/embed/60dd990025564138b206a13f80441e7f?sid=f4f03bce-05e9-4bdf-a84c-1c2bb3ed5442,9/25/2024,Launchgrid – Explore Today's Launches Across Product Hunt and Show HN,breck
32,https://www.habox.com/,https://www.youtube.com/embed/AD6NSwHs7OU?si=ML7JXVZwdjMImoa9,9/25/2024,Habox,breck
33,https://softwareengineeringhandbook.com/,https://www.loom.com/embed/9f59e3fc516c4a5fb7e82dcf02901104?sid=b1f3652c-a0ee-4a8d-b147-985b6eddab90,9/25/2024,"Software Engineering Handbook – A Guide to Engineering, Life, and More",breck
34,https://www.jonashietala.se/blog/2024/09/25/why_i_still_blog_after_15_years/,https://www.youtube.com/embed/UF7fjvE_Lco?si=DIrTdUOBao4AKlzH,9/25/2024,Why I still blog after 15 years,breck
35,https://supergrow.ai,https://www.youtube.com/embed/qvAJnxqav1I?si=ZpSN3X2j0OO6CN2d,9/24/2024,Supergrow: Grow your audience on LinkedIn,breck
36,https://clipchamp.com/,https://www.youtube.com/embed/kx5WoMB1xXI?si=4HKIEIPzO0lubr1V,9/24/2024,Clip Champ,breck
37,https://github.com/torrentg/expr,https://www.youtube.com/embed/DS5MXJSGgHM?si=s0CMTFVwWg7oGuAm,9/24/2024,An expression parser supporting multiple types,breck
38,https://json4u.com,https://www.youtube.com/embed/ERpyG_f2gJE?si=ItqT1mPweRQZJ75h,9/24/2024,JSON For You – Visualize JSON in graph or table views,breck
