rank	url	creation	try	date	buildername
7	https://www.rugu.dev/en/blog/plain-text/	Reading "Lessons from Plain Text"	https://www.youtube.com/embed/rx7nv6R5Rww?si=tuR6lhGHbNW6BYUa	10/13/2024	breck
8	https://github.com/feelamee/sso	Small String Optimizer	https://www.youtube.com/embed/tQXoCbUhWOQ?si=Zc-Uo4pF6QaX2hyV	10/12/2024	breck
9	https://www.mycheekybot.com/	MyCheekyBot	https://www.youtube.com/embed/bHPDOTg99_E?si=7PM0HvpuRUbyBr4D	10/12/2024	breck
10	https://www.coffeespace.com/	CoffeeSpace Cofounder Matching	https://www.youtube.com/embed/JTfd4uFZpi0?si=aGpEz6bLBBFy-v1a	10/12/2024	breck
11	https://cartesia.ai/	Cartesia.AI Voice Generator	https://www.youtube.com/embed/unqBYZcMBQ0?si=LF35TJ3FfIHU4y9v	10/12/2024	breck
12	https://spectrum-visualizer-demo.vercel.app/	Spectrum Visualizer	https://www.youtube.com/embed/NOFJl6h3BuM?si=ICHPvXrGr2QglDvv	10/12/2024	breck
13	https://indexely.com/	Indexely Website Monitoring	https://www.youtube.com/embed/vxdaWsO8V4M?si=3zHAVkl9a8HU7Z9Z	10/12/2024	breck
14	https://dayoneventures.com/	day one ventures	https://www.youtube.com/embed/nPCbilmvzT0?si=wazalVS1VUDKxNRY	10/12/2024	breck
15	https://filtergrade.com/	FilterGrade	https://www.youtube.com/embed/HWVEt_XlnBY?si=lkICiwY_G07UBvil	10/11/2024	breck
16	https://htmlforpeople.com/	HTML for people	https://www.youtube.com/embed/j_A2egmsT0g?si=0iamrS9dDK2OCGAr	10/11/2024	breck
17	https://embra.ai/	Embra AI	https://www.youtube.com/embed/ykRLDxklAlg?si=flUSfi68qPwINrXs	10/12/2024	breck
18	https://www.lans.app/	LANS	https://www.youtube.com/embed/o5z5hdZfUGc?si=1dDAZN-Q-gzqMCvE	10/12/2024	breck
19	https://www.ranzey.com/generators/bart/index.html	Bart Simpson Chalkboard Generator	https://www.youtube.com/embed/iHOdMWU5zmo?si=ko-NOFTZBJshdmYi	10/10/2024	breck
20	https://bloombergbeta.com/	BloombergBeta.com	https://www.youtube.com/embed/2WXLMWqsyi0?si=8FMJvRHM4W-cqEJc	10/10/2024	breck
21	https://marknadal.com/	MarkNadal.com	https://www.youtube.com/embed/DvX-PH0jFtw?si=z1aPxG0zx1ccg5Tb	10/10/2024	breck
